ai,ecotox.ineq,ecotox.LD50,farruggia.ineq,farruggia.LD50,manual.ineq,manual.LD50
BENTAZONE,NA,NA,NA,NA,>,100
NORFLURAZON,NA,NA,NA,NA,NA,235
ACIFLUORFEN,NA,NA,NA,NA,NA,100
GLUFOSINATE,NA,NA,NA,NA,NA,100
ALPHA-CYPERMETHRIN,NA,NA,NA,NA,NA,0.023
BACILLUS SUBTILIS,NA,NA,NA,NA,NA,NA
BACILLUS THURINGIENSIS,NA,NA,NA,NA,NA,NA
CYFLUTHRIN,NA,NA,NA,NA,NA,0.037
FLUAZIFOP,NA,NA,NA,NA,NA,53.79
FLUROXYPYR,NA,NA,NA,NA,NA,25
FOMESAFEN,NA,NA,NA,NA,>,100
THIFENSULFURON,NA,NA,NA,NA,NA,12.5
METSULFURON,NA,NA,NA,NA,NA,25
FLUAZINAM,NA,NA,NA,NA,NA,200
IMAZAPYR,NA,NA,NA,NA,NA,100
SULFOSATE,NA,NA,NA,NA,NA,103
BIFENTHRIN,NA,NA,NA,NA,NA,0.015
FLUSILAZOLE,NA,NA,NA,NA,NA,NA
FLUMICLORAC,NA,NA,NA,NA,NA,106
FENOXAPROP,NA,NA,NA,NA,NA,192.4
TEBUPIRIMPHOS,NA,NA,NA,NA,NA,NA
CLETHODIM,NA,NA,NA,NA,NA,100
CHLORIMURON,NA,NA,NA,NA,NA,12.5
PRIMISULFURON,NA,NA,NA,NA,NA,100
HALOSULFURON,NA,NA,NA,NA,NA,98.2
ISOXAFLUTOLE,NA,NA,NA,NA,NA,100
DIMETHENAMID-P,NA,NA,NA,NA,NA,94
IODOSULFURON,NA,NA,NA,NA,NA,150
THIENCARBAZONE-METHYL,NA,NA,NA,NA,NA,199
TEMBOTRIONE,NA,NA,NA,NA,NA,100
CYFLUMETOFEN,NA,NA,NA,NA,NA,NA
FLUXAPYROXAD,NA,NA,NA,NA,NA,100
HALAUXIFEN,NA,NA,NA,NA,NA,98.1
ZETA-CYPERMETHRIN,NA,NA,NA,NA,NA,0.023
TETRAOXOSULFATE,NA,NA,NA,NA,NA,NA
GARLIC JUICE,NA,NA,NA,NA,NA,NA
BACILLUS PUMILIS,NA,NA,NA,NA,NA,NA
ASPERGILLUS FLAVUS,NA,NA,NA,NA,NA,NA
REYNOUTRIA SACHALINENSIS,NA,NA,NA,NA,NA,NA
BACILLUS AMYLOLIQUEFACIEN,NA,NA,NA,NA,NA,NA
POLYHEDROSIS VIRUS,NA,NA,NA,NA,NA,NA
CLOPYRALID,NA,NA,NA,NA,NA,100
ETHALFLURALIN,NA,NA,NA,51,NA,NA
PYRIDATE,NA,NA,NA,NA,NA,100
IMAZAQUIN,NA,NA,NA,NA,NA,100
TEBUCONAZOLE,NA,NA,NA,NA,NA,100
TETRACONAZOLE,NA,NA,NA,NA,NA,61
RIMSULFURON,NA,NA,NA,NA,NA,100
FORAMSULFURON,NA,NA,NA,NA,NA,1.9
CHLORANTRANILIPROLE,NA,NA,NA,NA,>,4
TOLPYRALATE,NA,NA,NA,NA,NA,108
