AgroTrakName,Type,ai,CompTox.PREFERRED_NAME,cas.number,cas.number %in% ecotox.casList,inEcoTox
IODOSULFURON,Herbicide,IODOSULFURON,Iodosulfuron,185119760,FALSE,FALSE
CHLOROPICRIN (I),Insecticide,CHLOROPICRIN,Trichloronitromethane,76062,TRUE,TRUE
DICHLOROPROPENE (I),Insecticide,DICHLOROPROPENE,Dichloro-1-propene,26952238,FALSE,FALSE
NA,NA,DICHLOROPROPENE,"1,3-Dichloropropene",542756,FALSE,FALSE
GARLIC JUICE,Insecticide,GARLIC JUICE,NA,NA,FALSE,FALSE
AZADIRACHTIN,Insecticide,AZADIRACHTIN,Azadirachtin,11141176,TRUE,TRUE
PYRAFLUFEN ETHYL (H),Herbicide,PYRAFLUFEN ETHYL,Pyraflufen-ethyl,129630199,TRUE,TRUE
ALDICARB (I),Insecticide,ALDICARB,Aldicarb,116063,TRUE,TRUE
CYHALOTHRIN-GAMMA,Insecticide,CYHALOTHRIN-GAMMA,gamma-Cyhalothrin,76703623,TRUE,TRUE
DELTAMETHRIN,Insecticide,DELTAMETHRIN,Deltamethrin,52918635,TRUE,TRUE
DIFLUBENZURON,Insecticide,DIFLUBENZURON,Diflubenzuron,35367385,TRUE,TRUE
THIODICARB,Insecticide,THIODICARB,Thiodicarb,59669260,TRUE,TRUE
QUINCLORAC,Herbicide,QUINCLORAC,Quinclorac,84087014,TRUE,TRUE
SPIROMESIFEN,Insecticide,SPIROMESIFEN,Spiromesifen,283594901,TRUE,TRUE
AZOXYSTROBIN,Fungicide,AZOXYSTROBIN,Azoxystrobin,131860338,TRUE,TRUE
CHLOROTHALONIL,Fungicide,CHLOROTHALONIL,Chlorothalonil,1897456,TRUE,TRUE
FENTIN,Fungicide,FENTIN,Fentin,668348,FALSE,FALSE
MEFENOXAM,Fungicide,MEFENOXAM,Metalaxyl-M,70630170,TRUE,TRUE
MYCLOBUTANIL,Fungicide,MYCLOBUTANIL,Myclobutanil,88671890,TRUE,TRUE
PROPICONAZOLE,Fungicide,PROPICONAZOLE,Propiconazole,60207901,TRUE,TRUE
PYRACLOSTROBIN,Fungicide,PYRACLOSTROBIN,Pyraclostrobin,175013180,TRUE,TRUE
SULFUR (F),Fungicide,SULFUR,Sulfur,7704349,TRUE,TRUE
TEBUCONAZOLE,Fungicide,TEBUCONAZOLE,Tebuconazole,107534963,TRUE,TRUE
TETRACONAZOLE,Fungicide,TETRACONAZOLE,Tetraconazole,112281773,TRUE,TRUE
TRIFLOXYSTROBIN,Fungicide,TRIFLOXYSTROBIN,Trifloxystrobin,141517217,TRUE,TRUE
TOPRAMEZONE,Herbicide,TOPRAMEZONE,Topramezone,210631688,TRUE,TRUE
TRALKOXYDIM,Herbicide,TRALKOXYDIM,Tralkoxydim,87820880,TRUE,TRUE
SPINOSYN,Insecticide,SPINOSYN,Spinosad,168316958,TRUE,TRUE
THIOPHANATE-METHYL,Fungicide,THIOPHANATE-METHYL,Thiophanate-methyl,23564058,TRUE,TRUE
MSMA,Herbicide,MSMA,Monosodium methanearsonate,2163806,TRUE,TRUE
MANCOZEB,Fungicide,MANCOZEB,Mancozeb,8018017,FALSE,FALSE
MANEB,Fungicide,MANEB,Maneb,12427382,TRUE,TRUE
ZINC,Fungicide,ZINC,Zinc (II) cation,23713497,FALSE,FALSE
NA,NA,ZINC,Zinc,7440666,FALSE,FALSE
MCPA,Herbicide,MCPA,2-(4-Chloro-2-methylphenoxy)acetic acid,94746,TRUE,TRUE
IMIDACLOPRID,Insecticide,IMIDACLOPRID,Imidacloprid,138261413,TRUE,TRUE
COPPER SULFATE (F),Fungicide,COPPER SULFATE,Copper sulfate,7758987,FALSE,FALSE
FLUTRIAFOL,Fungicide,FLUTRIAFOL,Flutriafol,76674210,TRUE,TRUE
METCONAZOLE,Fungicide,METCONAZOLE,Metconazole,125116236,TRUE,TRUE
THIAMETHOXAM,Insecticide,THIAMETHOXAM,Thiamethoxam,153719234,TRUE,TRUE
FLUTHIACET-METHYL (H),Herbicide,FLUTHIACET-METHYL,Fluthiacet-methyl,117337196,TRUE,TRUE
TEMBOTRIONE,Herbicide,TEMBOTRIONE,Tembotrione,335104842,FALSE,FALSE
FLUSILAZOLE,Fungicide,FLUSILAZOLE,Flusilazole,85509199,FALSE,FALSE
PROTHIOCONAZOLE,Fungicide,PROTHIOCONAZOLE,Prothioconazole,178928706,TRUE,TRUE
TRALOMETHRIN,Insecticide,TRALOMETHRIN,Tralomethrin,66841256,TRUE,TRUE
PHOSPHORIC ACID,Fungicide,PHOSPHORIC ACID,Phosphoric acid,7664382,FALSE,FALSE
THIENCARBAZONE-METHYL,Herbicide,THIENCARBAZONE-METHYL,Thiencarbazone-methyl,317815831,FALSE,FALSE
HEXYTHIAZOX,Insecticide,HEXYTHIAZOX,Hexythiazox,78587050,TRUE,TRUE
CYPROCONAZOLE,Fungicide,CYPROCONAZOLE,Cyproconazole,94361065,TRUE,TRUE
INDOXACARB,Insecticide,INDOXACARB,Indoxacarb,173584446,TRUE,TRUE
FLUOXASTROBIN,Fungicide,FLUOXASTROBIN,Fluoxastrobin,361377299,TRUE,TRUE
SAFLUFENACIL (H),Herbicide,SAFLUFENACIL,Saflufenacil,372137354,TRUE,TRUE
HARPIN PROTEIN (I),Insecticide,HARPIN PROTEIN,Harpin Ea,151438549,FALSE,FALSE
METALDEHYDE,Insecticide,METALDEHYDE,Metaldehyde,37273919,TRUE,TRUE
BACILLUS PUMILIS,Fungicide,BACILLUS PUMILIS,NA,NA,FALSE,FALSE
BACILLUS SUBTILIS,Fungicide,BACILLUS SUBTILIS,Bacillus subtilis,68038700,FALSE,FALSE
DICROTOPHOS,Insecticide,DICROTOPHOS,Dicrotophos,141662,TRUE,TRUE
SPINETORAM,Insecticide,SPINETORAM,Spinetoram,935545747,TRUE,TRUE
AMINOPYRALID,Herbicide,AMINOPYRALID,"4-Amino-3,6-dichloro-2-pyridinecarboxylic acid",150114719,TRUE,TRUE
TRICLOPYR,Herbicide,TRICLOPYR,Triclopyr,55335063,TRUE,TRUE
BENOMYL,Fungicide,BENOMYL,Benomyl,17804352,TRUE,TRUE
CAPTAN,Fungicide,CAPTAN,Captan,133062,TRUE,TRUE
FENHEXAMID,Fungicide,FENHEXAMID,Fenhexamid,126833178,TRUE,TRUE
ABAMECTIN (I),Insecticide,ABAMECTIN,Avermectin B1a,71751412,TRUE,TRUE
FLUBENDIAMIDE,Insecticide,FLUBENDIAMIDE,Flubendiamide,272451657,TRUE,TRUE
FLUXAPYROXAD,Fungicide,FLUXAPYROXAD,Fluxapyroxad,907204313,FALSE,FALSE
PYROXASULFONE,Herbicide,PYROXASULFONE,Pyroxasulfone,447399555,TRUE,TRUE
CHLORANTRANILIPROLE,Insecticide,CHLORANTRANILIPROLE,Chlorantraniliprole,500008457,TRUE,TRUE
ETOXAZOLE,Insecticide,ETOXAZOLE,Etoxazole,153233911,TRUE,TRUE
HARPIN PROTEIN (F),Fungicide,HARPIN PROTEIN,Harpin Ea,151438549,FALSE,FALSE
PICOXYSTROBIN,Fungicide,PICOXYSTROBIN,Picoxystrobin,117428225,TRUE,TRUE
